Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
WSBC,27.82,2024/02/07,10:38 EST,-0.3199997,28.26,28.59,27.2098,31001.0,,,,,,,
ZYXI,12.31,2024/02/07,10:45 EST,0.07000065,12.18,12.31,12.18,30968.0,,,,,,,
LAD,296.95,2024/02/07,10:46 EST,4.700012,291.11,297.313,289.56,30858.0,,,,,,,
PHR,26.7401,2024/02/07,10:46 EST,-0.1398983,26.78,26.805,26.3,30853.0,,,,,,,
AMED,93.15,2024/02/07,10:48 EST,-0.25,93.8,93.8,93.02,30784.0,,,,,,,
FNA,13.51,2024/02/07,10:47 EST,0.0,13.61,13.565,13.42,30713.0,,,,,,,
ESAB,89.58,2024/02/07,10:46 EST,0.87000275,89.0,90.7399,88.25,30655.0,,,,,,,
NVRO,17.35,2024/02/07,10:48 EST,-0.27000046,17.69,17.515,17.09,30599.0,,,,,,,
TGH,49.72,2024/02/07,10:45 EST,0.010002136,49.74,49.7201,49.7,30564.0,,,,,,,
NGM,1.4,2024/02/07,10:43 EST,-0.01999998,1.41,1.48,1.4,30466.0,,,,,,,
TOWN,26.9,2024/02/07,10:46 EST,-0.32999992,27.3,27.3,26.56,30330.0,,,,,,,
AMPY,5.87,2024/02/07,10:46 EST,0.009999752,5.88,5.96,5.855,30279.0,,,,,,,
AMG,154.195,2024/02/07,10:44 EST,0.085006714,154.68,154.99,152.59,30273.0,,,,,,,
CCRN,20.25,2024/02/07,10:46 EST,-0.125,20.49,20.49,20.19,30259.0,,,,,,,
WLK,141.03,2024/02/07,10:47 EST,1.6699982,139.79,141.03,139.025,30237.0,,,,,,,
CYRX,15.23,2024/02/07,10:48 EST,-0.35000038,15.65,15.65,15.17,30207.0,,,,,,,
VAC,83.275,2024/02/07,10:45 EST,-0.084999084,83.7,83.665,82.42,30193.0,,,,,,,
ONDS,1.235,2024/02/07,10:44 EST,0.004999995,1.22,1.25,1.22,30181.0,,,,,,,
SCHL,37.55,2024/02/07,10:47 EST,-0.17000198,38.0,38.21,37.485,30179.0,,,,,,,
HIBB,66.885,2024/02/07,10:46 EST,-0.25499725,67.23,67.23,66.36,30164.0,,,,,,,
EFSC,39.28,2024/02/07,10:48 EST,-0.24000168,39.66,40.0534,38.63,30115.0,,,,,,,
JOAN,0.5099,2024/02/07,10:48 EST,0.0028999448,0.5065,0.5099,0.5,30022.0,,,,,,,
FDS,483.79,2024/02/07,10:47 EST,6.380005,480.0,483.79,477.915,29985.0,,,,,,,
AMBC,15.56,2024/02/07,10:46 EST,-0.19999981,15.72,15.84,15.5,29937.0,,,,,,,
FSS,78.73,2024/02/07,10:48 EST,0.3100052,78.54,79.05,78.29,29867.0,,,,,,,
ALTG,11.02,2024/02/07,10:47 EST,-0.019999504,11.13,11.09,10.91,29724.0,,,,,,,
UMBF,78.89,2024/02/07,10:48 EST,-0.6500015,79.54,79.54,77.82,29702.0,,,,,,,
ADTH,2.7,2024/02/07,10:46 EST,-0.029999971,2.71,2.73,2.6373,29378.0,,,,,,,
EHAB,9.49,2024/02/07,10:44 EST,-0.11000061,9.69,9.5895,9.395,29269.0,,,,,,,
BHG,16.35,2024/01/26,16:00 EST,1.4,15.0,16.35,14.52,29245.0,,,,,,,
EWCZ,14.6196,2024/02/07,10:46 EST,-0.21039963,14.78,14.78,14.5,29226.0,,,,,,,
UTHR,213.24,2024/02/07,10:44 EST,-1.7099915,214.12,214.2,211.78,29119.0,,,,,,,
OSW,13.87,2024/02/07,10:41 EST,-0.045000076,13.99,13.99,13.75,29116.0,,,,,,,
CASY,277.985,2024/02/07,10:48 EST,1.875,277.77,279.87,276.78,29082.0,,,,,,,
TLS,4.17,2024/02/07,10:44 EST,-0.07999992,4.29,4.29,4.13,28996.0,,,,,,,
