Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
CSCO,50.335,2024/08/21,15:20 EDT,0.094997406,50.3,50.55,50.03,10684506.0,,,,,,,
C,60.215,2024/08/21,15:20 EDT,-1.0950012,61.4,61.44,59.88,10584727.0,,,,,,,
VGR,15.09,2024/08/21,15:20 EDT,1.1000004,15.21,15.5349,15.05,10276012.0,,,,,,,
CCL,15.525,2024/08/21,15:20 EDT,0.20499992,15.41,15.61,15.3,10239305.0,,,,,,,
OXY,55.985,2024/08/21,15:20 EDT,-0.18499756,56.58,56.71,55.75,10212921.0,,,,,,,
META,532.26,2024/08/21,15:20 EDT,5.5300293,527.4,539.38,526.94,10200627.0,,,,,,,
MU,107.4,2024/08/21,15:20 EDT,-0.58999634,108.23,108.23,106.21,10021292.0,,,,,,,
PFE,28.95,2024/08/21,15:20 EDT,0.050001144,28.98,29.17,28.93,9991073.0,,,,,,,
PTON,3.325,2024/08/21,15:20 EDT,0.125,3.24,3.34,3.1801,9953491.0,,,,,,,
AVGO,164.75,2024/08/21,15:20 EDT,-1.199997,165.115,166.47,162.88,9916532.0,,,,,,,
CMG,53.81,2024/08/21,15:20 EDT,1.8700027,52.25,53.86,52.08,9883455.0,,,,,,,
FFIE,3.6499,2024/08/21,15:20 EDT,0.64989996,2.78,3.709,2.67,9589137.0,,,,,,,
WMT,75.05,2024/08/21,15:20 EDT,0.51000214,75.3,75.57,74.59,9393120.0,,,,,,,
GSAT,1.435,2024/08/21,15:20 EDT,0.16499996,1.3,1.45,1.2803,9248024.0,,,,,,,
STEM,0.6305,2024/08/21,15:20 EDT,0.058499992,0.577,0.6575,0.5714,9246236.0,,,,,,,
MSTR,139.82,2024/08/21,15:20 EDT,6.130005,134.34,141.25,132.87,9001417.0,,,,,,,
WFC,55.415,2024/08/21,15:20 EDT,-0.7350006,56.44,56.45,55.2,8757391.0,,,,,,,
TJX,119.91,2024/08/21,15:20 EDT,6.600006,119.89,120.89,117.913,8651877.0,,,,,,,
BLUE,0.7185,2024/08/21,15:20 EDT,0.056200027,0.663,0.7438,0.662,8578914.0,,,,,,,
LYFT,11.725,2024/08/21,15:20 EDT,0.43500042,11.45,11.765,11.2201,8502720.0,,,,,,,
SWN,6.225,2024/08/21,15:20 EDT,-0.055000305,6.33,6.34,6.17,8451747.0,,,,,,,
RBLX,43.35,2024/08/21,15:20 EDT,2.8099976,40.68,43.46,40.67,8376018.0,,,,,,,
AKTS,0.1,2024/08/21,15:20 EDT,0.0029999986,0.099,0.1069,0.0921,8328732.0,,,,,,,
UAA,8.405,2024/08/21,15:20 EDT,0.01499939,8.43,8.4499,8.26,8221230.0,,,,,,,
AGNC,10.155,2024/08/21,15:20 EDT,0.034999847,10.15,10.18,10.1,8140156.0,,,,,,,
MSFT,422.975,2024/08/21,15:20 EDT,-1.8249817,424.15,426.4,421.72,8046129.0,,,,,,,
GOOG,167.26,2024/08/21,15:20 EDT,-1.7000122,166.99,168.64,166.57,8042879.0,,,,,,,
CHPT,1.8923,2024/08/21,15:20 EDT,0.08230007,1.81,1.93,1.81,8015166.0,,,,,,,
GM,46.545,2024/08/21,15:20 EDT,0.5649986,46.25,46.915,46.245,7500510.0,,,,,,,
PYPL,71.495,2024/08/21,15:20 EDT,-0.39499664,72.0,72.77,70.87,7496572.0,,,,,,,
CIFR,4.06,2024/08/21,15:20 EDT,0.109999895,4.03,4.119,3.96,7392443.0,,,,,,,
PINS,32.45,2024/08/21,15:20 EDT,0.80000114,31.66,32.585,31.6218,7121612.0,,,,,,,
UBER,73.24,2024/08/21,15:20 EDT,-0.069999695,73.72,74.29,73.06,6791253.0,,,,,,,
NCLH,16.315,2024/08/21,15:20 EDT,0.39500046,15.97,16.36,15.96,6785670.0,,,,,,,
ACHR,3.79,2024/08/21,15:20 EDT,0.17000008,3.66,3.85,3.62,6658243.0,,,,,,,
COTY,10.11,2024/08/21,15:20 EDT,0.5799999,9.6,10.2,9.59,6657714.0,,,,,,,
CLF,12.855,2024/08/21,15:20 EDT,0.45499992,12.59,12.9,12.56,6591970.0,,,,,,,
KEY,16.38,2024/08/21,15:20 EDT,-0.2800007,16.76,16.76,16.35,6525259.0,,,,,,,
DKNG,35.53,2024/08/21,15:20 EDT,0.72999954,34.8,35.65,34.71,6525029.0,,,,,,,
CORZ,10.355,2024/08/21,15:20 EDT,0.2149992,10.2,10.41,10.01,6514417.0,,,,,,,
XOM,114.43,2024/08/21,15:20 EDT,-0.15000153,115.01,115.56,114.07,6364324.0,,,,,,,
LLAP,0.2889,2024/08/21,15:20 EDT,-0.0011000037,0.2848,0.3016,0.2751,6165213.0,,,,,,,
HL,6.17,2024/08/21,15:20 EDT,0.15999985,6.01,6.2,5.92,6132344.0,,,,,,,
KMI,20.9951,2024/08/21,15:20 EDT,-0.034900665,21.1,21.1,20.84,6093600.0,,,,,,,
SNOW,134.285,2024/08/21,15:20 EDT,2.3650055,132.76,135.03,130.74,6004777.0,,,,,,,
JBLU,4.765,2024/08/21,15:20 EDT,-0.0050001144,4.77,4.815,4.72,5958486.0,,,,,,,
STNE,14.2825,2024/08/21,15:20 EDT,-0.5374994,14.78,14.825,14.15,5793200.0,,,,,,,
DELL,111.2959,2024/08/21,15:20 EDT,0.58589935,110.85,111.9,108.86,5716442.0,,,,,,,
TXN,208.34,2024/08/21,15:20 EDT,5.800003,206.46,210.88,204.9,5706145.0,,,,,,,
TIG,6.16,2024/08/19,16:00 EDT,0.0,6.16,6.17,6.15,5701945.0,,,,,,,
CMCSA,39.905,2024/08/21,15:20 EDT,-0.125,40.18,40.3,39.8046,5393476.0,,,,,,,
RUN,19.295,2024/08/21,15:20 EDT,0.20499992,19.62,19.7897,19.0101,5369254.0,,,,,,,
KO,69.485,2024/08/21,15:20 EDT,0.10500336,69.48,70.13,69.4202,5341613.0,,,,,,,
MPW,4.685,2024/08/21,15:20 EDT,-0.05499983,4.77,4.81,4.6719,5341085.0,,,,,,,
RVNC,6.6,2024/08/21,15:20 EDT,0.0,6.59,6.6,6.57,5306245.0,,,,,,,
COMM,4.0212,2024/08/21,15:20 EDT,-0.3687997,4.42,4.47,3.935,5297569.0,,,,,,,
MRK,116.07,2024/08/21,15:20 EDT,0.9300003,114.78,116.58,114.55,5291859.0,,,,,,,
HOOD,20.0098,2024/08/21,15:20 EDT,0.17980003,19.74,20.07,19.52,5282914.0,,,,,,,
PATH,12.175,2024/08/21,15:20 EDT,0.08500004,12.14,12.205,12.045,5273341.0,,,,,,,
COIN,203.0373,2024/08/21,15:20 EDT,5.7872925,197.19,204.51,195.12,5263339.0,,,,,,,
SMCI,620.757,2024/08/21,15:20 EDT,9.847046,612.89,628.75,601.78,5253904.0,,,,,,,
MDT,87.125,2024/08/21,15:20 EDT,1.7450027,85.93,87.245,85.865,5213131.0,,,,,,,
PARA,11.08,2024/08/21,15:20 EDT,0.14000034,11.03,11.2,10.98,5121754.0,,,,,,,
VZ,40.88,2024/08/21,15:20 EDT,0.030002594,40.91,41.055,40.73,5110717.0,,,,,,,
IOVA,11.75,2024/08/21,15:20 EDT,0.46000004,11.28,11.87,11.28,5032629.0,,,,,,,
UPST,40.39,2024/08/21,15:20 EDT,2.0099983,38.93,40.62,38.06,4962675.0,,,,,,,
SBUX,92.87,2024/08/21,15:20 EDT,-0.13999939,92.48,93.38,92.22,4922171.0,,,,,,,
DIS,90.24,2024/08/21,15:20 EDT,0.5,90.22,90.5046,89.43,4909515.0,,,,,,,
DAL,40.045,2024/08/21,15:20 EDT,-0.07500076,40.33,40.44,39.91,4896760.0,,,,,,,
MRO,27.6,2024/08/21,15:20 EDT,-0.07999992,27.92,27.99,27.47,4883980.0,,,,,,,
WOLF,13.385,2024/08/21,15:20 EDT,0.21500015,13.29,13.585,13.06,4855834.0,,,,,,,
NKE,83.865,2024/08/21,15:20 EDT,0.3050003,83.67,84.24,83.22,4808363.0,,,,,,,
LXRX,1.88,2024/08/21,15:20 EDT,0.20000005,1.69,1.94,1.68,4806789.0,,,,,,,
SLCA,15.49,2024/07/31,16:00 EDT,-0.0100002,15.49,15.51,15.49,4764754.0,,,,,,,
U,17.135,2024/08/21,15:20 EDT,0.11499977,17.12,17.305,16.86,4705265.0,,,,,,,
HBAN,13.8808,2024/08/21,15:20 EDT,-0.019199371,13.92,13.98,13.81,4691724.0,,,,,,,
RDFN,9.03,2024/08/21,15:20 EDT,-0.09000015,9.25,9.4369,8.74,4533069.0,,,,,,,
AMC,5.015,2024/08/21,15:20 EDT,0.0149998665,4.99,5.06,4.98,4517074.0,,,,,,,
AFRM,29.39,2024/08/21,15:20 EDT,0.099998474,29.32,29.54,28.47,4476240.0,,,,,,,
GPS,24.455,2024/08/21,15:20 EDT,0.93499947,24.5,24.63,23.77,4433142.0,,,,,,,
BMY,48.215,2024/08/21,15:20 EDT,-0.7649994,48.78,49.17,48.16,4426588.0,,,,,,,
SGMO,0.8741,2024/08/21,15:20 EDT,0.05890006,0.82,0.9,0.814,4369641.0,,,,,,,
SIX,32.0,2024/07/01,16:00 EDT,-1.14,32.82,33.58,31.92,4352505.0,,,,,,,
APPS,3.96,2024/08/21,15:20 EDT,-0.099999905,4.11,4.1794,3.8,4313449.0,,,,,,,
SQ,65.192,2024/08/21,15:20 EDT,0.3120041,66.81,65.5,64.09,4311054.0,,,,,,,
CRWD,271.7899,2024/08/21,15:20 EDT,5.2598877,267.01,274.42,265.6433,4296711.0,,,,,,,
CDE,6.55,2024/08/21,15:20 EDT,0.1500001,6.4,6.63,6.315,4250997.0,,,,,,,
CVX,145.495,2024/08/21,15:20 EDT,0.8049927,145.43,146.64,144.565,4163978.0,,,,,,,
QS,6.0899,2024/08/21,15:20 EDT,0.24989986,5.87,6.14,5.795,4163899.0,,,,,,,
KSS,19.575,2024/08/21,15:20 EDT,-0.15499878,20.0,20.39,19.245,4139400.0,,,,,,,
VTRS,11.675,2024/08/21,15:20 EDT,0.015000343,11.66,11.76,11.56,4134937.0,,,,,,,
HPE,18.815,2024/08/21,15:20 EDT,0.045000076,18.82,18.8966,18.5,4111559.0,,,,,,,
PTEN,9.075,2024/08/21,15:20 EDT,0.01499939,9.25,9.25,8.91,4110959.0,,,,,,,
SCHW,64.87,2024/08/21,15:20 EDT,0.030006409,65.0,65.11,64.21,4077359.0,,,,,,,
PRCT,84.9225,2024/08/21,15:20 EDT,19.917503,70.095,85.81,70.0,4052142.0,,,,,,,
ADI,225.66,2024/08/21,15:20 EDT,2.1699982,230.0,236.86,225.52,4033245.0,,,,,,,
HA,17.655,2024/08/21,15:20 EDT,-0.024999619,17.68,17.7,17.62,4009774.0,,,,,,,
KOS,4.71,2024/08/21,15:20 EDT,-0.03999996,4.79,4.81,4.66,3992056.0,,,,,,,
KHC,35.37,2024/08/21,15:20 EDT,0.07999802,35.29,35.57,35.22,3949420.0,,,,,,,
TFC,41.735,2024/08/21,15:20 EDT,-0.5249977,42.45,42.55,41.53,3922957.0,,,,,,,
RGTI,0.9133,2024/08/21,15:20 EDT,0.07729995,0.846,0.9423,0.8415,3911110.0,,,,,,,
FCX,43.801,2024/08/21,15:20 EDT,0.2709999,44.03,44.11,43.47,3909789.0,,,,,,,
