Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
NKTR,"Nektar Therapeutics",3.53,0.15,+4.44%,3.44,3.55,3.21,4055000,2022-10-07
NKTX,"Nkarta Inc",13.32,-0.88,-6.20%,13.95,14.22,13.28,311800,2022-10-07
NLOK,"Nortonlifelock Inc",20.68,-0.35,-1.66%,20.85,21.07,20.58,7196100,2022-10-07
NLSN,"Nielsen Holdings Plc",27.96,0.03,+0.11%,27.94,27.97,27.94,5523100,2022-10-07
NLY,"Annaly Capital Management Inc",16.27,-0.42,-2.52%,16.51,16.75,16.18,11295601,2022-10-07
NMIH,"Nmi Holdings Inc",21.28,-0.67,-3.05%,21.71,21.81,21.17,412100,2022-10-07
NMRK,"Newmark Group Inc Cl A",8.38,-0.48,-5.42%,8.67,8.77,8.27,1355400,2022-10-07
NNI,"Nelnet Inc",80.08,-1.35,-1.66%,81.06,81.26,79.78,68700,2022-10-07
NNN,"National Retail Properties",38.73,-0.28,-0.72%,38.81,39.06,38.52,811800,2022-10-07
NNOX,"Nano-X Imaging Ltd",11.43,-1.08,-8.63%,12.52,12.73,11.33,795800,2022-10-07
NOC,"Northrop Grumman Corp",496.09,10.86,+2.24%,485.16,496.52,483.02,1097600,2022-10-07
NOG,"Northern Oil and Gas",32.79,-0.08,-0.24%,32.94,33.88,32.4,811500,2022-10-07
NOV,"Nov Inc",18.48,-0.49,-2.58%,18.98,19.07,18.36,2327500,2022-10-07
NOVA,"Sunnova Energy International",20.98,-0.81,-3.72%,21.24,21.6,20.75,2102500,2022-10-07
NOVT,"Novanta Inc",117.19,-6.12,-4.96%,121.66,121.66,116.48,96500,2022-10-07
NOW,"Servicenow Inc",401.21,-17.22,-4.12%,410,412.43,398.96,1235500,2022-10-07
NPK,"National Presto Industries",64.27,-0.83,-1.27%,64.67,65,63.9,19000,2022-10-07
NPO,"Enpro Industries",87.7,-3.39,-3.72%,90.62,90.62,87.29,61100,2022-10-07
NRC,"National Research Corp",39.17,-0.38,-0.96%,39.55,39.97,39.08,67800,2022-10-07
NRDS,"Nerdwallet Inc Cl A",10.22,-0.09,-0.87%,10.15,10.31,9.83,129000,2022-10-07
NRG,"NRG Energy",41.12,0.02,+0.05%,40.95,41.36,40.65,1915000,2022-10-07
NRIX,"Nurix Therapeutics Inc",10.97,-0.85,-7.19%,12.13,12.39,10.93,694400,2022-10-07
NSA,"National Storage Affiliates Tru",39.37,-1.52,-3.72%,40.43,40.73,39.06,746300,2022-10-07
NSC,"Norfolk Southern Corp",214.57,-4.36,-1.99%,215.93,217.06,212.96,987000,2022-10-07
NSIT,"Insight Enterpr",85.07,-1.37,-1.58%,85.52,85.52,84.14,221000,2022-10-07
NSP,"Insperity Inc",102.92,-2.47,-2.34%,104.72,104.72,101.63,336200,2022-10-07
NSSC,"Napco Sec Tech Inc",27.59,-0.96,-3.36%,28.44,28.44,27.45,143700,2022-10-07
NSTG,"Nanostring Tech",11.93,-1.62,-11.96%,13.15,13.17,11.74,661300,2022-10-07
NTAP,"Netapp Inc",66.08,-0.92,-1.37%,66,66.28,65.22,1313500,2022-10-07
NTB,"Bank of Butterfield Ltd",33.28,-0.84,-2.46%,34.07,34.2,33.07,72400,2022-10-07
NTCT,"Netscout Systems",32.34,-0.33,-1.01%,32.49,32.57,32,509600,2022-10-07
NTGR,"Netgear Inc",20.76,-1.01,-4.64%,21.61,21.77,20.71,77600,2022-10-07
NTLA,"Intellia Thera CS",56.02,-6.67,-10.64%,61.14,61.17,55.41,928500,2022-10-07
NTNX,"Nutanix Inc",21.98,-0.74,-3.26%,22.35,22.59,21.92,1679900,2022-10-07
NTRA,"Natera Inc",42.77,-4.26,-9.06%,45.72,45.9,42.69,1748600,2022-10-07
NTRS,"Northern Trust Corp",85.95,-2.71,-3.06%,87.94,87.94,85.04,917400,2022-10-07
NTST,"Netstreit Corp",18.08,-0.1,-0.55%,18.05,18.16,17.89,643800,2022-10-07
NUE,"Nucor Corp",115.01,-2.8,-2.38%,117,117.45,113.94,1923500,2022-10-07
NUS,"Nu Skin Enterprises",35.53,-0.67,-1.85%,36.01,36.07,35.28,379000,2022-10-07
NUVA,"Nuvasive Inc",40.01,-3.93,-8.94%,43.26,43.44,39.72,962500,2022-10-07
NUVB,"Nuvation Bio Inc",2.3,-0.2,-8.00%,2.46,2.53,2.3,669900,2022-10-07
NUVL,"Nuvalent Inc Cl A",18.58,-0.51,-2.67%,18.89,19.49,18.31,107500,2022-10-07
NVAX,"Novavax Inc",16.3,-1.78,-9.85%,17.62,17.9,16.23,4434300,2022-10-07
NVCR,"Novocure Ltd Ord Sh",81.35,-4.02,-4.71%,83.95,84.42,80.87,397900,2022-10-07
NVDA,"Nvidia Corp",120.76,-10.54,-8.03%,125.05,126.7,120.22,67247797,2022-10-07
NVEE,"Nv5 Global",127.2,-3.84,-2.93%,130.68,130.8,125.54,55800,2022-10-07
NVR,"NVR Inc",4255.08,-56.05,-1.30%,4249.7,4289,4172.08,17800,2022-10-07
NVRO,"Nevro Corp",38.62,-4.89,-11.24%,42.56,42.56,38.46,1040200,2022-10-07
NVST,"Envista Holdings Corp",33.21,-0.91,-2.67%,33.9,34.13,33.09,1424100,2022-10-07
NVT,"Nvent Electric Plc",32.1,-1.25,-3.75%,32.91,32.92,31.96,816100,2022-10-07
NVTA,"Invitae Corp",2.37,-0.31,-11.57%,2.6,2.62,2.36,7645900,2022-10-07
NWBI,"Northwest Bancshares",13.51,-0.28,-2.03%,13.75,13.77,13.5,1149600,2022-10-07
NWE,"Northwestern Corp",49.81,-0.29,-0.58%,49.98,50.49,49.54,426500,2022-10-07
NWL,"Newell Rubbermaid Inc",13.96,-0.42,-2.92%,14.18,14.25,13.89,2832600,2022-10-07
NWLI,"Natl Wstrn Life Gp A",174.48,-1.63,-0.93%,172.41,174.53,172.41,6400,2022-10-07
NWN,"Northwest Natural Gas Company",42.73,-0.58,-1.34%,43.17,43.27,42.37,222000,2022-10-07
NWPX,"Northwest Pipe Company",29.85,-0.39,-1.29%,30.05,30.2,29.68,47100,2022-10-07
NWS,"News Cp Cl B",15.85,-0.34,-2.10%,15.99,16.15,15.75,573200,2022-10-07
NWSA,"News Cp Cl A",15.55,-0.33,-2.08%,15.75,15.82,15.46,1527700,2022-10-07
NX,"Quanex Building Products Corp",19.79,-0.44,-2.17%,20.01,20.01,19.62,102400,2022-10-07
NXGN,"Nextgen Healthcare Inc",18.01,-0.37,-2.01%,18.29,18.29,17.95,191600,2022-10-07
NXRT,"Nexpoint Residential Trust Inc",40,-1.74,-4.17%,41.31,41.33,39.86,123800,2022-10-07
NXST,"Nexstar Media Group Inc",173.39,-2.81,-1.59%,174.35,175.32,171.75,405900,2022-10-07
NYCB,"New York Community Bancorp",8.45,-0.31,-3.54%,8.66,8.66,8.44,10948000,2022-10-07
NYMT,"New York Mtge Trust",2.28,-0.05,-2.15%,2.32,2.37,2.27,6106900,2022-10-07
NYT,"New York Times Company",29.38,-0.67,-2.23%,29.78,30.09,29.27,5820600,2022-10-07
O,"Realty Income Corp",58.03,-0.49,-0.84%,58.2,58.71,57.68,3287200,2022-10-07
OB,"Outbrain Inc",4.06,-0.17,-4.02%,4.17,4.21,3.99,262800,2022-10-07
OBNK,"Origin Bancorp Inc",38.95,-0.99,-2.48%,39.64,40.4,38.64,102800,2022-10-07
OC,"Owens Corning Inc",84.31,-0.92,-1.08%,83.85,84.9,83.14,1204100,2022-10-07
OCFC,"Oceanfirst Financial Corp",19.24,-0.37,-1.89%,19.44,19.55,19,421400,2022-10-07
OCGN,"Ocugen Inc",1.67,-0.13,-7.22%,1.76,1.77,1.655,5409500,2022-10-07
OCUL,"Ocular Therapeut",4.33,-0.06,-1.37%,4.32,4.62,4.28,909700,2022-10-07
ODFL,"Old Dominion Freight Line Inc",260.04,-17.14,-6.18%,271.11,272.38,259.14,1153800,2022-10-07
ODP,"Office Depot",35.33,-0.89,-2.46%,35.92,36.08,35.06,489400,2022-10-07
OEC,"Orion Engineered Carbons S.A R",13.56,-0.42,-3.00%,13.87,13.98,13.39,479700,2022-10-07
OFC,"Corporate Office Properties",22.44,-0.26,-1.15%,22.53,22.64,22.22,712200,2022-10-07
OFG,"Ofg Bancorp",26.13,-0.68,-2.54%,26.6,26.6,26.09,342800,2022-10-07
OFIX,"Orthofix Intl NV",18.34,-0.56,-2.96%,18.74,18.8,18.2,160700,2022-10-07
OGE,"Oge Energy Corp",34.44,-1.47,-4.09%,35.5,35.54,34.25,1652400,2022-10-07
OGN,"Organon & CO",24.01,-0.75,-3.03%,24.65,24.74,23.93,1335100,2022-10-07
OGS,"One Gas Inc",70.29,-0.87,-1.22%,71.28,71.62,69.65,319500,2022-10-07
OHI,"Omega Healthcare Investors",29.41,-0.27,-0.91%,29.57,30.04,29.17,2329700,2022-10-07
OI,"O-I Glass Inc",14.39,-0.48,-3.23%,14.7,14.79,14.32,895400,2022-10-07
OII,"Oceaneering International",9.33,-0.25,-2.61%,9.48,9.63,9.21,1131800,2022-10-07
OIS,"Oil States International",4.57,-0.08,-1.72%,4.61,4.66,4.52,598700,2022-10-07
OKE,"Oneok Inc",54.53,-1.1,-1.98%,55.53,55.64,53.94,3595800,2022-10-07
OKTA,"Okta Inc Cl A",53.72,-4.29,-7.40%,56.59,56.76,53.55,3034600,2022-10-07
OLED,"Universal Display",99.49,-3.64,-3.53%,100.79,101.35,99.04,273200,2022-10-07
OLLI,"Ollies Bargain CS",52.99,-0.35,-0.66%,52.87,53.46,52.19,874300,2022-10-07
OLN,"Olin Corp",46.34,-0.65,-1.38%,46.45,47.38,45.95,1089800,2022-10-07
OLO,"Olo Inc Cl A",7.87,-0.23,-2.84%,7.99,8.03,7.7,666800,2022-10-07
OLP,"One Liberty Properties",20.86,-0.15,-0.71%,20.89,21.23,20.65,72300,2022-10-07
OLPX,"Olaplex Holdings Inc",9.14,-0.3,-3.18%,9.35,9.39,9,2004000,2022-10-07
OM,"Outset Medical Inc",14.66,-1.51,-9.34%,15.78,15.78,14.35,484600,2022-10-07
OMC,"Omnicom Group Inc",64.99,-0.81,-1.23%,65.14,65.54,64.46,1324000,2022-10-07
OMCL,"Omnicell Inc",81.47,-4.3,-5.01%,84.81,85.75,81.39,374800,2022-10-07
OMF,"Onemain Holdings Inc",31.41,-1.27,-3.89%,32.11,32.28,31.34,940300,2022-10-07
OMI,"Owens & Minor",22.77,-0.9,-3.80%,23.26,23.31,22.49,628400,2022-10-07
ON,"On Semiconductor",64.83,-5.42,-7.72%,68.01,68.17,63.11,10339300,2022-10-07
ONB,"Old National Bncp",17.31,-0.33,-1.87%,17.61,17.68,17.28,1299200,2022-10-07
ONEM,"1Life Healthcare Inc",16.98,-0.1,-0.59%,17.07,17.09,16.94,4379500,2022-10-07
