Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
NXPI,"Nxp Semiconductors",151.75,-7.24,-4.55%,154.87,150.36,2753000,2022-10-07
ODFL,"Old Dominion Freight Line Inc",260.04,-17.14,-6.18%,272.38,259.14,1153800,2022-10-07
OKTA,"Okta Inc Cl A",53.72,-4.29,-7.40%,56.76,53.55,3034600,2022-10-07
ORLY,"O'Reilly Automotive",710.77,-21.64,-2.95%,729.32,705.71,466600,2022-10-07
PANW,"Palo Alto Networks Inc",169.91,-4.84,-2.77%,173.78,169.35,2833600,2022-10-07
PAYX,"Paychex Inc",109.59,-2.1,-1.88%,110.91,108.97,2133500,2022-10-07
PCAR,"Paccar Inc",87.68,-2.02,-2.25%,89.09,87.47,1878600,2022-10-07
PDD,"Pinduoduo Inc ADR",63.56,-1.7,-2.60%,64.33,62.58,4843400,2022-10-07
PEP,"Pepsico Inc",161.61,-1.19,-0.73%,163.01,160.98,4779100,2022-10-07
PYPL,"Paypal Holdings",90.17,-4.25,-4.50%,92.82,89.68,9229500,2022-10-07
QCOM,"Qualcomm Inc",120.91,-4.37,-3.49%,124.11,120.32,8618500,2022-10-07
REGN,"Regeneron Pharmaceuticals",722.37,-9.49,-1.30%,732.69,720.14,670700,2022-10-07
ROST,"Ross Stores Inc",86.86,-1.38,-1.56%,87.78,86.17,1743000,2022-10-07
SBUX,"Starbucks Corp",87.03,-2.32,-2.60%,88.9,86.3,6606300,2022-10-07
SGEN,"Seagen Inc",131.26,-5.02,-3.68%,135.25,131.02,883100,2022-10-07
SIRI,"Sirius XM Holdings",5.87,-0.06,-1.01%,5.93,5.85,17133000,2022-10-07
SNPS,"Synopsys Inc",307.01,-14.92,-4.63%,315.88,305.23,1093300,2022-10-07
SPLK,"Splunk Inc",72.98,-6.55,-8.24%,78.09,72.4,3774100,2022-10-07
SWKS,"Skyworks Solutions",87.2,-5.41,-5.84%,90.39,86.95,2592400,2022-10-07
TEAM,"Atlassian Corp",228.24,-10.75,-4.50%,233.61,225.3,1327000,2022-10-07
TMUS,"T-Mobile US",137.59,-1.83,-1.31%,139.29,137.04,4945800,2022-10-07
TSLA,"Tesla Inc",223.07,-15.06,-6.32%,234.57,222.02,83916797,2022-10-07
TXN,"Texas Instruments",159.28,-7.26,-4.36%,165.06,158.61,8306400,2022-10-07
VRSK,"Verisk Analytics Inc",170.56,-5.13,-2.92%,174.54,169.91,705400,2022-10-07
VRSN,"Verisign Inc",177.86,-4.22,-2.32%,180.68,177.05,731800,2022-10-07
VRTX,"Vertex Pharmaceutic",295.23,-3.4,-1.14%,300.05,292.73,1424700,2022-10-07
WBA,"Walgreens Boots Alliance",30.52,-1.73,-5.36%,32.07,30.39,11291000,2022-10-07
WDAY,"Workday Inc",152.88,-6.62,-4.15%,157.18,151.71,1537700,2022-10-07
XEL,"XCEL Energy Inc",59.86,-1.96,-3.17%,62.04,59.68,6476400,2022-10-07
ZM,"Zoom Video Communications Cl A",76.59,-1.76,-2.25%,78.33,75.36,4464200,2022-10-07
ZS,"Zscaler Inc",170.09,-12.83,-7.01%,179.74,169.83,2536000,2022-10-07
"Downloaded from Barchart.com as of 10-07-2022 08:21pm CDT"
